1.19681 -1.13478e-006 -2.28174e-008 
0.131228 -1.16631 0.000874494 
-0.643252 -0.67428 -0.0040315 
159.562 167.948 1 
./normal/crowd/2015_05_12_19_17_41FrontDepth.avi 13 0 1
./normal/uncrowd/2015_05_12_19_40_41FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_20_03_56FrontDepth.avi 1 1 0
./normal/uncrowd/2015_05_12_20_05_32FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_20_21_16FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_06_12_13FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_06_13_09FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_07_34_28FrontDepth.avi 1 0 0
./noisy/uncrowd/2015_05_12_07_34_59FrontDepth.avi 1 0 2
./normal/crowd/2015_05_12_07_41_41FrontDepth.avi 8 0 1
./normal/uncrowd/2015_05_12_07_43_06FrontDepth.avi 3 0 0
./normal/crowd/2015_05_12_07_44_43FrontDepth.avi 5 0 1
./normal/uncrowd/2015_05_12_07_46_01FrontDepth.avi 2 0 0
./normal/crowd/2015_05_12_07_57_36FrontDepth.avi 6 0 1
./normal/crowd/2015_05_12_08_01_38FrontDepth.avi 7 2 1
./normal/uncrowd/2015_05_12_08_01_53FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_08_02_47FrontDepth.avi 5 0 0
./normal/uncrowd/2015_05_12_08_06_06FrontDepth.avi 4 0 0
./normal/crowd/2015_05_12_08_06_27FrontDepth.avi 6 2 1
./normal/uncrowd/2015_05_12_08_07_57FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_08_12_12FrontDepth.avi 1 1 1
./normal/uncrowd/2015_05_12_08_13_15FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_08_15_15FrontDepth.avi 3 0 0
./normal/crowd/2015_05_12_08_17_02FrontDepth.avi 7 0 1
./normal/uncrowd/2015_05_12_08_20_44FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_08_21_51FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_08_22_57FrontDepth.avi 4 0 0
./normal/uncrowd/2015_05_12_08_26_41FrontDepth.avi 3 0 0
./normal/uncrowd/2015_05_12_08_28_52FrontDepth.avi 2 0 0
./normal/uncrowd/2015_05_12_08_29_53FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_08_38_45FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_08_40_50FrontDepth.avi 6 0 1
./noisy/uncrowd/2015_05_12_08_44_29FrontDepth.avi 3 0 2
./noisy/crowd/2015_05_12_08_45_57FrontDepth.avi 13 0 3
./normal/crowd/2015_05_12_09_04_57FrontDepth.avi 50 0 1
./normal/uncrowd/2015_05_12_09_06_37FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_09_06_54FrontDepth.avi 1 0 0
./normal/crowd/2015_05_12_09_08_36FrontDepth.avi 10 0 1
./normal/uncrowd/2015_05_12_09_09_47FrontDepth.avi 5 0 0
./normal/crowd/2015_05_12_09_11_08FrontDepth.avi 7 0 1
./normal/crowd/2015_05_12_09_12_12FrontDepth.avi 9 0 1
./noisy/uncrowd/2015_05_12_09_12_21FrontDepth.avi 5 0 2
./normal/uncrowd/2015_05_12_09_23_24FrontDepth.avi 1 0 0
./normal/uncrowd/2015_05_12_09_24_56FrontDepth.avi 1 0 0
